Crawler_Name,Requests
Googlebot-Mobile,4260
Googlebot/2.1,3658
Yeti/1.1,2324
Twitterbot/1.0,1212
bingbot/2.0,1111
SemrushBot/7~bl,300
Unclassified Bot,199
Googlebot-Image/1.0,111
GoogleWebLight,61
BingPreview/1.0b,47
