visit_id,path_sequence
ca041903-5059-581c-9eb2-508ba3ee977a,"[List](16.98s) ➔ [List](13.51s) ➔ [List](11.72s) ➔ [List](18.21s) ➔ [List](9.75s) ➔ [List](15.99s) ➔ [List](20.83s) ➔ [List](14.09s) ➔ [List](11.04s) ➔ [List](11.87s) ➔ [Detail](26.41s) ➔ [Detail](36.70s) ➔ [List](2.96s) ➔ [Detail](9.20s) ➔ [List](15.63s) ➔ [Detail](43.26s) ➔ [List](22.82s) ➔ [List](16.23s) ➔ [List](15.38s) ➔ [List](18.23s) ➔ [List](16.08s) ➔ [List](10.31s) ➔ [List](14.77s) ➔ [List](19.37s) ➔ [List](12.43s) ➔ [List](17.31s) ➔ [List](10.32s) ➔ [List](15.93s) ➔ [List](8.94s) ➔ [List](15.08s) ➔ [List](17.98s) ➔ [List](8.87s) ➔ [Detail](163.63s) ➔ [Detail](0.84s) ➔ [List](8.21s) ➔ [Search](44.84s) ➔ [Search](15.14s) ➔ [Search](17.74s) ➔ [Search](16.80s) ➔ [List]"
be3ae068-958d-5985-9301-6c72bfd77c3f,"[List](8.02s) ➔ [List](3.54s) ➔ [List](3.21s) ➔ [List](2.76s) ➔ [List](7.43s) ➔ [List](1.76s) ➔ [List](2.79s) ➔ [List](2.02s) ➔ [List](4.78s) ➔ [List](1.78s) ➔ [List](2.91s) ➔ [List](1.46s) ➔ [List](2.12s) ➔ [List](2.04s) ➔ [List](2.20s) ➔ [List](6.42s) ➔ [List](1.28s) ➔ [List](2.47s) ➔ [List](2.04s) ➔ [List](1.27s) ➔ [List](2.00s) ➔ [List](3.37s) ➔ [List](3.49s) ➔ [List](7.27s) ➔ [List](2.66s) ➔ [List](2.20s) ➔ [List](1.89s) ➔ [List](3.07s) ➔ [List](2.46s) ➔ [List](1.75s) ➔ [List]"
4247878f-18bd-5270-b09e-5c7f016ed9d3,"[List](8.55s) ➔ [List](8.24s) ➔ [List](8.06s) ➔ [List](5.52s) ➔ [List](5.01s) ➔ [List](6.54s) ➔ [List](1.21s) ➔ [List](4.45s) ➔ [List](3.75s) ➔ [List](5.68s) ➔ [List](5.32s) ➔ [List](14.01s) ➔ [List](10.86s) ➔ [List](6.84s) ➔ [List](5.64s) ➔ [List](7.55s) ➔ [Detail](28.91s) ➔ [List](5.20s) ➔ [List](7.59s) ➔ [List](3.70s) ➔ [List](5.03s) ➔ [List](4.07s) ➔ [List](5.15s) ➔ [List](4.07s) ➔ [List](4.61s) ➔ [List](4.24s) ➔ [List](4.36s) ➔ [List](4.52s) ➔ [List](4.08s) ➔ [List]"
4b2d6542-8345-5368-8af7-ae4ae5992fe9,"[List](1.48s) ➔ [Detail](472.13s) ➔ [Detail](300.92s) ➔ [List](17.34s) ➔ [List](1.22s) ➔ [List](2.02s) ➔ [List](1.82s) ➔ [List](0.87s) ➔ [List](2.27s) ➔ [List](1.71s) ➔ [List](3.71s) ➔ [List](8.85s) ➔ [List](1.19s) ➔ [List](1.19s) ➔ [List](1.96s) ➔ [List](1.27s) ➔ [List](3.17s) ➔ [List](322.73s) ➔ [List](0.01s) ➔ [List](0.24s) ➔ [List](0.77s) ➔ [List](0.66s) ➔ [List](0.52s) ➔ [List](0.73s) ➔ [List](0.90s) ➔ [List](0.96s) ➔ [List](1.52s) ➔ [List](0.81s) ➔ [List](0.85s) ➔ [List](1.68s) ➔ [List]"
b2439588-d41b-5fd3-ac1c-557d3cde9382,"[List](4.72s) ➔ [List](1.24s) ➔ [List](0.88s) ➔ [List](2.46s) ➔ [List](1.62s) ➔ [List](1.23s) ➔ [List](0.70s) ➔ [List](16.16s) ➔ [List](2.25s) ➔ [List](0.96s) ➔ [List](1.39s) ➔ [List](0.84s) ➔ [List](3.84s) ➔ [Detail](0.34s) ➔ [Detail](6.25s) ➔ [List](0.77s) ➔ [List](0.49s) ➔ [List](1.44s) ➔ [List](2.85s) ➔ [List](1.14s) ➔ [List](0.93s) ➔ [List](0.60s) ➔ [List](1.94s) ➔ [List](2.28s) ➔ [List](2.12s) ➔ [List](1.49s) ➔ [List](2.60s) ➔ [Detail](25.83s) ➔ [List](2.01s) ➔ [List](0.37s) ➔ [List](2.39s) ➔ [List](1.75s) ➔ [List](2.34s) ➔ [List](5.39s) ➔ [List](1.35s) ➔ [List](1.49s) ➔ [List](2.39s) ➔ [List](1.80s) ➔ [List](1.05s) ➔ [List](0.80s) ➔ [List](1.46s) ➔ [List](0.89s) ➔ [List]"
849d94b7-d36b-5358-b473-7c2cd4f7fbce,"[List](14.72s) ➔ [Detail](7.79s) ➔ [List](1.22s) ➔ [Detail](12.20s) ➔ [List](1.55s) ➔ [List](2.75s) ➔ [Detail](3.58s) ➔ [List](1.56s) ➔ [List](4.80s) ➔ [List](7.37s) ➔ [List](4.47s) ➔ [List](13.12s) ➔ [List](7.44s) ➔ [List](7.04s) ➔ [List](5.04s) ➔ [List](5.26s) ➔ [List](8.98s) ➔ [List](3.64s) ➔ [List](4.50s) ➔ [List](4.18s) ➔ [List](5.22s) ➔ [List](4.07s) ➔ [List](3.91s) ➔ [List](8.89s) ➔ [List](13.55s) ➔ [List](3.75s) ➔ [List](9.93s) ➔ [Detail](4.44s) ➔ [List](6.14s) ➔ [Search](8.78s) ➔ [Search](7.73s) ➔ [Search](6.97s) ➔ [Search](12.22s) ➔ [Search](9.53s) ➔ [Search](7.72s) ➔ [Search](7.98s) ➔ [Search](4.88s) ➔ [Search](8.95s) ➔ [Search](16.16s) ➔ [Search]"
f147d515-80d9-5f00-995a-72599383b770,"[Detail](18.89s) ➔ [Detail](373.81s) ➔ [Detail](12.41s) ➔ [List](1.53s) ➔ [Detail](3.54s) ➔ [Detail](29.00s) ➔ [Detail](3.83s) ➔ [List](1.45s) ➔ [Detail](5.78s) ➔ [List](12.76s) ➔ [Detail](5.60s) ➔ [List](104.22s) ➔ [Detail](7.58s) ➔ [Detail](9.59s) ➔ [Detail](1.65s) ➔ [Detail](18.96s) ➔ [List](172.72s) ➔ [List](0.23s) ➔ [Detail](185.38s) ➔ [Detail](4.57s) ➔ [List](3.40s) ➔ [List](1.47s) ➔ [List](0.97s) ➔ [List](1.44s) ➔ [List](1.10s) ➔ [List](2.07s) ➔ [List](2.76s) ➔ [List](1.91s) ➔ [List](10.43s) ➔ [List](605.42s) ➔ [List](0.48s) ➔ [Detail](15.84s) ➔ [Detail](13.31s) ➔ [Detail](15.49s) ➔ [List](3.24s) ➔ [Detail](17.67s) ➔ [List](5.80s) ➔ [List](439.31s) ➔ [Detail](33.95s) ➔ [List](14.54s) ➔ [List](1.07s) ➔ [List](984.53s) ➔ [List](0.02s) ➔ [Detail](89.75s) ➔ [List](4.80s) ➔ [Detail](29.29s) ➔ [Detail](9.19s) ➔ [Detail]"
9feaea08-5475-572a-99b2-d47e7502e0a8,"[List](6.95s) ➔ [List](1.56s) ➔ [List](5.24s) ➔ [List](1.57s) ➔ [List](4.36s) ➔ [List](2.93s) ➔ [List](3.26s) ➔ [List](1.80s) ➔ [List](2.65s) ➔ [List](2.95s) ➔ [List](3.41s) ➔ [List](3.68s) ➔ [List](2.40s) ➔ [List](3.04s) ➔ [List](3.79s) ➔ [List](4.26s) ➔ [List](3.53s) ➔ [List](2.47s) ➔ [List](4.61s) ➔ [List](2.71s) ➔ [List](3.89s) ➔ [List](1.95s) ➔ [List](3.28s) ➔ [List](1.94s) ➔ [List](6.67s) ➔ [List](1.26s) ➔ [List](2.56s) ➔ [List](4.58s) ➔ [List](2.06s) ➔ [List](5.89s) ➔ [Detail](11.64s) ➔ [List](3.24s) ➔ [List](1.98s) ➔ [List](2.44s) ➔ [List](2.42s) ➔ [List](2.32s) ➔ [List](2.24s) ➔ [List](2.57s) ➔ [List](4.30s) ➔ [List](4.01s) ➔ [List](4.02s) ➔ [List](3.90s) ➔ [List](5.52s) ➔ [List](3.65s) ➔ [List](2.86s) ➔ [List]"
2bc3e5fa-32f8-5ce9-a9bf-98556e2b2ee2,"[List](7.47s) ➔ [Detail](19.72s) ➔ [List](9.14s) ➔ [List](7.83s) ➔ [List](5.02s) ➔ [List](4.80s) ➔ [List](3.98s) ➔ [List](4.76s) ➔ [List](5.71s) ➔ [List](47.81s) ➔ [List](4.52s) ➔ [Detail](97.79s) ➔ [List](4.83s) ➔ [List](6.17s) ➔ [List](6.51s) ➔ [List](5.40s) ➔ [List](3.83s) ➔ [List](7.90s) ➔ [Detail](35.25s) ➔ [List](2.28s) ➔ [List](9.64s) ➔ [List](3.71s) ➔ [List](48.77s) ➔ [List](6.73s) ➔ [Detail](34.59s) ➔ [List](4.38s) ➔ [List](5.95s) ➔ [List](6.21s) ➔ [List](4.77s) ➔ [List](30.37s) ➔ [List](5.39s) ➔ [List](12.43s) ➔ [List](4.71s) ➔ [Detail](148.77s) ➔ [Detail](266.78s) ➔ [List](23.04s) ➔ [List](7.46s) ➔ [List](4.03s) ➔ [List](9.54s) ➔ [List](2.94s) ➔ [List](5.05s) ➔ [Detail](9.08s) ➔ [List](10.28s) ➔ [List](2.42s) ➔ [List](3.16s) ➔ [Detail](46.61s) ➔ [List](7.73s) ➔ [List](6.88s) ➔ [List](4.60s) ➔ [List](4.03s) ➔ [List](6.05s) ➔ [Detail](307.82s) ➔ [Detail](8.25s) ➔ [List](4.73s) ➔ [Detail](57.38s) ➔ [List](3.25s) ➔ [List](3.14s) ➔ [List](10.38s) ➔ [List](3.90s) ➔ [List](13.58s) ➔ [List](8.05s) ➔ [List](2.02s) ➔ [List](6.74s) ➔ [List](3.45s) ➔ [List](634.59s) ➔ [List](7.32s) ➔ [List](11.40s) ➔ [List](2.44s) ➔ [List](4.10s) ➔ [List](3.44s) ➔ [List](8.13s) ➔ [List](48.51s) ➔ [List](5.32s) ➔ [Detail](15.60s) ➔ [List](9.40s) ➔ [List](9.60s) ➔ [List](26.78s) ➔ [List](5.50s) ➔ [List](80.48s) ➔ [Detail](24.46s) ➔ [List](4.37s) ➔ [List](5.11s) ➔ [List](3.72s) ➔ [List](16.76s) ➔ [List](24.77s) ➔ [List](12.30s) ➔ [List](4.50s) ➔ [List](3.89s) ➔ [List](11.36s) ➔ [List]"
d96275eb-0d14-5076-85c0-762c4d381621,"[List](6.27s) ➔ [List](2.38s) ➔ [List](1.15s) ➔ [List](748.96s) ➔ [List](6.04s) ➔ [List](2.69s) ➔ [Detail](365.31s) ➔ [List](14.91s) ➔ [List](5.54s) ➔ [List](2.57s) ➔ [List](1.76s) ➔ [List](2.19s) ➔ [List](6.50s) ➔ [List](5.35s) ➔ [List](4.41s) ➔ [Detail](13.30s) ➔ [List](2.02s) ➔ [List](5.54s) ➔ [List](2.02s) ➔ [List](1.89s) ➔ [List](1.70s) ➔ [List](1.28s) ➔ [List](1.61s) ➔ [List](4.35s) ➔ [List](1.44s) ➔ [List](65.50s) ➔ [Detail](13.42s) ➔ [Detail](7.63s) ➔ [List](3.31s) ➔ [List](10.54s) ➔ [List](1.66s) ➔ [List](3.62s) ➔ [List](2.34s) ➔ [List](2.34s) ➔ [List](2.90s) ➔ [List](52.75s) ➔ [List](4.19s) ➔ [Detail](373.56s) ➔ [List](39.41s) ➔ [List]"
b374c023-f47e-58d8-9dd7-14fa46dbec42,"[List](8.01s) ➔ [List](3.20s) ➔ [List](5.87s) ➔ [List](3.37s) ➔ [Detail](15.36s) ➔ [List](19.09s) ➔ [Detail](92.87s) ➔ [List](7.87s) ➔ [Detail](53.36s) ➔ [List](5.57s) ➔ [List](9.33s) ➔ [List](4.90s) ➔ [Detail](9.19s) ➔ [List](2.44s) ➔ [List](7.38s) ➔ [List](3.45s) ➔ [List](3.26s) ➔ [List](2.92s) ➔ [Detail](92.28s) ➔ [List](2.74s) ➔ [List](4.87s) ➔ [List](3.32s) ➔ [Detail](16.32s) ➔ [List](6.17s) ➔ [List](0.83s) ➔ [List](1.99s) ➔ [Detail](6.83s) ➔ [Detail](3.52s) ➔ [List](5.84s) ➔ [List](2.95s) ➔ [List](2.39s) ➔ [List](1.22s) ➔ [List](2.92s) ➔ [List](140.83s) ➔ [List](2.64s) ➔ [List](70.89s) ➔ [List](3.83s) ➔ [List](5.16s) ➔ [List](3.53s) ➔ [List](3.44s) ➔ [List](3.24s) ➔ [List](6.44s) ➔ [List](6.22s) ➔ [List](8.46s) ➔ [Detail](4.80s) ➔ [List](2.45s) ➔ [List](6.91s) ➔ [List](3.62s) ➔ [Detail](8.95s) ➔ [List](3.73s) ➔ [List](4.62s) ➔ [Detail](7.50s) ➔ [List](7.40s) ➔ [List](4.52s) ➔ [Detail](24.60s) ➔ [List](2.27s) ➔ [List]"
8ead1a69-9a3e-5745-9f78-a4bc9e5da343,"[Detail](3.29s) ➔ [Detail](2.20s) ➔ [Detail](142.53s) ➔ [Detail](9.55s) ➔ [Detail](21.44s) ➔ [Detail](4.61s) ➔ [Detail](78.31s) ➔ [Detail](19.35s) ➔ [Detail](30.27s) ➔ [Detail](71.29s) ➔ [Detail](22.69s) ➔ [Detail](9.43s) ➔ [Detail](79.23s) ➔ [Detail](4.87s) ➔ [Detail](17.90s) ➔ [List](20.75s) ➔ [List](37.99s) ➔ [Detail](276.61s) ➔ [Detail](75.98s) ➔ [Detail](9.47s) ➔ [Detail](59.66s) ➔ [Detail](65.92s) ➔ [Detail](8.98s) ➔ [Detail](3.95s) ➔ [Detail](1113.97s) ➔ [List](7.36s) ➔ [List](3.82s) ➔ [Detail](11.81s) ➔ [Detail](2.05s) ➔ [Detail](17.78s) ➔ [List](5.14s) ➔ [List](3.60s) ➔ [Detail](16.09s) ➔ [Detail](3.73s) ➔ [List](5.49s) ➔ [List](5.92s) ➔ [List](9.07s) ➔ [Detail](56.20s) ➔ [List](6.68s) ➔ [List](4.22s) ➔ [Detail](312.75s) ➔ [Detail]"
7b13da15-7a94-535f-97d8-068030c810a7,"[List](3.34s) ➔ [Detail](6.28s) ➔ [Detail](80.29s) ➔ [Detail](12.98s) ➔ [Detail](7.69s) ➔ [List](5.25s) ➔ [List](6.99s) ➔ [Detail](12.92s) ➔ [List](0.35s) ➔ [Detail](29.38s) ➔ [Detail](21.54s) ➔ [List](0.35s) ➔ [Detail](9.22s) ➔ [Detail](7.52s) ➔ [Detail](2.88s) ➔ [Detail](25.04s) ➔ [List](3.39s) ➔ [List](11.38s) ➔ [Detail](5.97s) ➔ [Detail](9.19s) ➔ [List](4.00s) ➔ [Detail](9.03s) ➔ [Detail](5.17s) ➔ [Detail](5.16s) ➔ [List](1.64s) ➔ [Detail](52.62s) ➔ [Detail](15.38s) ➔ [Detail](5.95s) ➔ [Detail](2.60s) ➔ [List](1.61s) ➔ [Detail](3.70s) ➔ [Detail](12.64s) ➔ [Detail](51.81s) ➔ [Detail](2.51s) ➔ [Detail](8.72s) ➔ [Detail](3.04s) ➔ [Detail](16.93s) ➔ [List](0.34s) ➔ [Detail](4.25s) ➔ [Detail](4.50s) ➔ [Detail](14.07s) ➔ [Detail](8.13s) ➔ [Detail](3.39s) ➔ [Detail](85.59s) ➔ [List](2.28s) ➔ [List](1.17s) ➔ [List](1.96s) ➔ [List](3.37s) ➔ [List](5.53s) ➔ [List](11.82s) ➔ [Detail](24.67s) ➔ [Detail](4.87s) ➔ [List](1.42s) ➔ [Detail](18.79s) ➔ [Detail](6.62s) ➔ [Detail](313.06s) ➔ [List](19.64s) ➔ [List](25.12s) ➔ [List](52.17s) ➔ [List](39.45s) ➔ [List]"
