cluster,label,count,avg_steps,avg_std_dwell,avg_cv_dwell,avg_entropy_dwell,avg_repeat_ratio,avg_autocorr_lag1
-1,noise,5,107.8000,32.1297,3.0191,2.7856,0.3779,0.2151
0,cluster,46,51.4130,56.0635,2.8710,2.7233,0.4027,-0.0595
