cluster,label,count,avg_steps,avg_std_dwell,avg_cv_dwell,avg_entropy_dwell,avg_repeat_ratio,avg_autocorr_lag1
-1,noise,6,42.3333,96.4772,2.4284,3.2081,0.2768,0.1463
0,cluster,49,52.4082,56.3125,2.3585,4.1292,0.1394,-0.0143
